ICAO,MOF,N,N_VALID,TXOT,REF,ADD_TXOT,AVG_ADD_TXOT
SBGL,2020-03-01T00:00:00Z,2034,2034,30770.499999999978,25124.799999999537,6566.870000000007,3.228549655850544
SBGL,2020-04-01T00:00:00Z,125,125,1766.000000000001,1719.6000000000038,219.75,1.758
SBGL,2020-05-01T00:00:00Z,162,162,2217.3,2223.100000000006,231.4399999999999,1.4286419753086415
SBGL,2020-06-01T00:00:00Z,301,301,4469.500000000004,4165.000000000015,678.4499999999999,2.253986710963455
SBGL,2020-07-01T00:00:00Z,491,491,7572.399999999994,6783.599999999947,1158.6099999999988,2.3596945010183275
SBGL,2020-08-01T00:00:00Z,716,716,12834.899999999992,9904.099999999878,3258.9500000000007,4.551606145251398
SBGL,2020-09-01T00:00:00Z,778,778,14018.300000000005,10695.099999999893,3667.2700000000023,4.713714652956301
SBGL,2020-10-01T00:00:00Z,1040,1040,18971.700000000015,14366.099999999784,5194.170000000001,4.994394230769232
SBGL,2020-11-01T00:00:00Z,885,885,16377.400000000012,12260.19999999982,4626.030000000001,5.227152542372882
SBGL,2020-12-01T00:00:00Z,1127,1127,19544.49999999998,15482.099999999804,4672.900000000006,4.146317657497787
SBGL,2021-01-01T00:00:00Z,1146,1146,18678.7,15771.099999999742,3602.869999999999,3.143865619546247
SBGL,2021-02-01T00:00:00Z,740,740,11627.899999999987,10248.899999999876,1992.2599999999977,2.69224324324324
SBGL,2021-03-01T00:00:00Z,512,512,7067.299999999998,7081.099999999942,712.9299999999997,1.3924414062499995
SBGL,2021-04-01T00:00:00Z,385,385,5918,5446.499999999975,808.91,2.101064935064935
SBGL,2021-05-01T00:00:00Z,596,596,9203.200000000013,8226.799999999916,1475.1200000000003,2.4750335570469804
SBGL,2021-06-01T00:00:00Z,665,665,10703.200000000003,9194.499999999904,1960.009999999999,2.947383458646615
SBGL,2021-07-01T00:00:00Z,1174,1174,19320.29999999999,16069.799999999814,3999.0199999999995,3.4063202725724016
