APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBSV,2019-01,ARR,3043,16,5,1,1,1,2,10,34,89,219,354,436,428,401,243,167,125,103,83,65,44,26,29,19,22,118,0.25961,0.14065,0.13178,0.13474,0.27243,0.66678
SBSV,2020-01,ARR,2939,8,3,3,1,6,4,13,48,143,292,443,481,433,311,198,141,104,70,34,36,26,20,15,13,11,81,0.31439,0.14733,0.10582,0.11535,0.25315,0.68289
SBSV,2021-01,ARR,2512,1,0,0,0,2,4,17,54,174,363,477,448,309,260,141,82,61,31,19,13,12,8,5,4,1,26,0.36823,0.12301,0.1035,0.08877,0.22651,0.68352
SBSV,2022-01,ARR,2641,0,0,0,0,0,0,6,35,93,241,399,454,409,346,194,149,81,55,44,18,19,10,13,9,2,62,0.32298,0.15487,0.13101,0.12988,0.28588,0.73874
SBSV,2019-02,ARR,2389,7,0,1,1,1,2,10,39,83,196,253,328,350,317,195,138,105,73,56,44,34,20,25,10,14,87,0.2432,0.1465,0.13269,0.13939,0.2792,0.66178
SBSV,2020-02,ARR,2587,0,0,1,0,1,3,21,66,159,315,432,437,358,226,148,80,75,40,44,22,30,22,10,14,10,68,0.33591,0.13838,0.08736,0.08813,0.22574,0.64979
SBSV,2021-02,ARR,1680,0,0,0,0,0,6,21,66,194,330,327,274,173,106,65,25,19,14,11,10,7,3,5,0,3,21,0.35774,0.10298,0.0631,0.05357,0.16607,0.57738
SBSV,2022-02,ARR,2019,7,1,2,4,3,0,11,36,110,302,402,360,306,198,94,52,32,9,15,12,6,3,6,2,2,37,0.37741,0.15156,0.09807,0.07231,0.24963,0.69936
SBSV,2019-03,ARR,2543,0,0,0,0,0,3,7,26,94,184,323,366,336,347,214,153,93,89,44,40,37,31,17,16,18,102,0.27094,0.13213,0.13645,0.14432,0.26858,0.68384
SBSV,2020-03,ARR,1817,0,0,0,0,0,0,13,48,137,282,362,290,231,175,53,77,32,24,23,15,9,3,4,5,1,33,0.35883,0.12713,0.09631,0.07155,0.22345,0.65382
SBSV,2021-03,ARR,1479,0,0,1,0,0,0,16,75,188,272,306,238,181,89,36,22,10,12,3,2,5,2,0,1,0,20,0.36782,0.12238,0.06018,0.03922,0.18256,0.58959
SBSV,2022-03,ARR,2259,0,0,0,0,0,1,5,40,134,275,444,449,320,232,112,65,51,36,18,14,9,7,6,6,4,31,0.39531,0.14166,0.1027,0.07835,0.24436,0.71802
SBSV,2019-04,ARR,2019,0,0,0,0,0,7,11,32,79,159,264,286,301,269,155,117,76,67,50,27,24,12,8,13,4,56,0.27241,0.14908,0.13323,0.13472,0.28232,0.68945
SBSV,2020-04,ARR,181,0,0,0,1,1,1,5,13,22,26,18,27,24,17,8,4,2,6,0,0,1,0,0,0,0,4,0.24862,0.1326,0.09392,0.0663,0.22652,0.54144
SBSV,2021-04,ARR,862,1,0,2,1,5,11,9,27,72,130,152,155,106,89,45,21,9,11,3,2,2,1,1,1,1,5,0.35615,0.12297,0.10325,0.07657,0.22622,0.65893
SBSV,2022-04,ARR,1983,0,0,0,0,1,0,3,20,114,235,387,375,275,214,120,68,42,27,25,16,11,2,2,6,5,29,0.38427,0.13868,0.10792,0.09481,0.2466,0.72567
SBSV,2019-05,ARR,1827,3,1,2,0,0,6,17,35,75,176,268,278,243,236,149,103,56,37,29,23,15,9,11,8,5,42,0.29885,0.133,0.12917,0.13793,0.26218,0.69896
SBSV,2020-05,ARR,233,0,0,1,0,2,5,10,16,37,39,30,38,16,17,7,3,2,4,0,1,2,0,0,0,1,2,0.29185,0.06867,0.07296,0.04292,0.14163,0.47639
SBSV,2021-05,ARR,1103,1,0,1,1,4,12,15,47,108,222,195,153,139,82,41,20,23,7,7,6,2,2,2,3,1,9,0.3155,0.12602,0.07434,0.0553,0.20036,0.57117
SBSV,2022-05,ARR,1931,0,0,0,1,1,1,5,23,128,237,386,338,278,177,119,66,42,30,14,12,12,6,6,10,4,32,0.37494,0.14397,0.09166,0.09581,0.23563,0.70637
