ICAO,YEAR,PHASE,SLOT2,N,FLIGHTS,N_VALID,SHARE,LABEL
SBGL,2020,ARR,WITHIN_5,3170,3170,16082,0.1971147867180699,WITHIN_5-19.7%
SBGL,2020,ARR,LATE_0515,1612,1612,16082,0.10023628901877876,LATE_0515-10%
SBGL,2020,ARR,LATE,2207,2207,16082,0.1372341748538739,LATE-13.7%
SBGL,2020,DEP,EARLY,121,121,16171,0.007482530455754127,EARLY-0.7%
SBGL,2020,DEP,EARLY_1505,1472,1472,16171,0.09102714736256261,EARLY_1505-9.1%
SBGL,2020,DEP,WITHIN_5,6335,6335,16171,0.39175066477026776,WITHIN_5-39.2%
SBGL,2020,DEP,LATE_0515,4834,4834,16171,0.29893018366211116,LATE_0515-29.9%
SBGL,2020,DEP,LATE,3409,3409,16171,0.2108094737493043,LATE-21.1%
SBGL,2021,ARR,EARLY,3013,3013,14136,0.21314374646293152,EARLY-21.3%
SBGL,2021,ARR,EARLY_1505,4104,4104,14136,0.2903225806451613,EARLY_1505-29%
SBGL,2021,ARR,WITHIN_5,2916,2916,14136,0.20628183361629882,WITHIN_5-20.6%
SBGL,2021,ARR,LATE_0515,1650,1650,14136,0.116723259762309,LATE_0515-11.7%
SBGL,2021,ARR,LATE,2453,2453,14136,0.1735285795132994,LATE-17.4%
SBGL,2021,DEP,EARLY,213,213,14499,0.014690668321953239,EARLY-1.5%
SBGL,2021,DEP,EARLY_1505,1392,1392,14499,0.09600662114628596,EARLY_1505-9.6%
SBGL,2021,DEP,WITHIN_5,6580,6580,14499,0.4538244016828747,WITHIN_5-45.4%
SBGL,2021,DEP,LATE_0515,3569,3569,14499,0.24615490723498173,LATE_0515-24.6%
SBGL,2021,DEP,LATE,2745,2745,14499,0.1893234016139044,LATE-18.9%
SBGL,2022,ARR,EARLY,1976,1976,9420,0.20976645435244162,EARLY-21%
SBGL,2022,ARR,EARLY_1505,2843,2843,9420,0.30180467091295116,EARLY_1505-30.2%
SBGL,2022,ARR,WITHIN_5,2096,2096,9420,0.22250530785562633,WITHIN_5-22.3%
SBGL,2022,ARR,LATE_0515,1057,1057,9420,0.11220806794055202,LATE_0515-11.2%
SBGL,2022,ARR,LATE,1448,1448,9420,0.15371549893842887,LATE-15.4%
SBGL,2022,DEP,EARLY,83,83,10907,0.007609791876776382,EARLY-0.8%
SBGL,2022,DEP,EARLY_1505,551,551,10907,0.05051801595305767,EARLY_1505-5.1%
SBGL,2022,DEP,WITHIN_5,4411,4411,10907,0.40441918034289903,WITHIN_5-40.4%
SBGL,2022,DEP,LATE_0515,3465,3465,10907,0.31768588979554413,LATE_0515-31.8%
SBGL,2022,DEP,LATE,2397,2397,10907,0.21976712203172274,LATE-22%
SBGR,2019,ARR,EARLY,43505,43505,135391,0.321328596435509,EARLY-32.1%
SBGR,2019,ARR,EARLY_1505,35471,35471,135391,0.26198934936591056,EARLY_1505-26.2%
SBGR,2019,ARR,WITHIN_5,23761,23761,135391,0.1754991099851541,WITHIN_5-17.5%
SBGR,2019,ARR,LATE_0515,12883,12883,135391,0.09515403534946931,LATE_0515-9.5%
SBGR,2019,ARR,LATE,19771,19771,135391,0.14602890886395697,LATE-14.6%
SBGR,2019,DEP,EARLY,1588,1588,136232,0.011656585824182277,EARLY-1.2%
SBGR,2019,DEP,EARLY_1505,32274,32274,136232,0.2369046919960068,EARLY_1505-23.7%
