AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
EGLL,2021-02,DEP,4065,73526,57537.9602753789,15892.0397246211,3.90948086706545
EGLL,2021-03,DEP,4926,84717,69905.6755815577,14777.3244184423,2.99986285392657
EGLL,2021-04,DEP,5144,87616,71398.767956869,16084.232043131,3.12679472067088
EGLL,2021-05,DEP,5775,101436,80863.8570621977,20514.1429378023,3.55223254334239
EGLL,2021-06,DEP,6772,124755,93305.9870010499,30920.0129989501,4.56586134066009
EGLL,2021-07,DEP,8343,141269,116595.237834724,24673.7621652759,2.95742085164521
EGLL,2021-08,DEP,9705,166064,135368.42944538,30638.5705546197,3.15698820758575
EGLL,2021-09,DEP,10812,187795,153255.731270142,34499.2687298584,3.19083136606164
EGLL,2021-10,DEP,12149,216266,175423.547457211,40767.4525427888,3.35562207118189
EGLL,2021-11,DEP,12025,214137,173141.275688164,40929.7243118357,3.40371927749153
EGLL,2021-12,DEP,12504,223453,177649.105050447,45589.2066904438,3.64596982489154
EHAM,2019-01,DEP,19266,274048.05,181438.998727771,92199.9179388954,4.78562846148113
EHAM,2019-02,DEP,18293,216658.916666667,149477.174082484,66835.8592508492,3.65363030945439
EHAM,2019-03,DEP,20635,247897.65,171973.234179275,75315.9213762802,3.64991138242211
EHAM,2019-04,DEP,21776,298709.7,222549.589093226,75867.4609067739,3.48399434729858
EHAM,2019-05,DEP,23256,333825.833333333,239306.570701091,94069.1894684003,4.04494278759891
EHAM,2019-06,DEP,22612,295643.5,212240.275018799,82994.0249812013,3.67035313024948
EHAM,2019-07,DEP,23218,292783.233333333,218923.423970679,73772.4926959876,3.17738361168006
EHAM,2019-08,DEP,23342,254884.116666667,189508.237044463,65308.5462888699,2.79789847865949
EHAM,2019-09,DEP,22866,302723.8,212621.299211513,89978.217455154,3.93502219256337
EHAM,2019-10,DEP,23070,279513.766666667,198101.139103853,80585.9074466193,3.49310392052966
EHAM,2019-11,DEP,19660,240069.566666667,172698.728336442,66977.8716635582,3.40680934199177
EHAM,2019-12,DEP,19888,231122.416666667,163145.782089184,67830.6512441489,3.41063210197852
EHAM,2020-01,DEP,19441,210302.966666667,153423.058023837,56804.9919761633,2.92191718410387
EHAM,2020-02,DEP,18214,197187.883333333,140995.29994223,56020.9167244362,3.07570641948151
EHAM,2020-03,DEP,13157,145348.583333333,111975.689074978,33237.1109250219,2.52619221137204
EHAM,2020-04,DEP,2478,30568.15,26096.9043821452,4218.46228452147,1.70236573225241
EHAM,2020-05,DEP,3381,42216.3333333333,35414.8651593206,6570.63484067945,1.94339983456949
EHAM,2020-06,DEP,4610,53308.3833333333,44466.4322821888,8615.85105114456,1.86894816727648
