ICAO,MOF,N,N_VALID,TXIT,REF,ADD_TXIT,AVG_ADD_TXIT
SBGR,2021-11-01T00:00:00Z,7953,7953,57769.19999999996,43575.80000000058,15889.859999999986,1.9979705771407
SBGR,2021-12-01T00:00:00Z,8709,8709,67557.6000000001,49489.500000000786,20015.999999999993,2.2983120909404056
SBGR,2022-01-01T00:00:00Z,8227,8227,60346.59999999986,43195.59999999993,18593.06000000002,2.260004862039628
SBGR,2022-02-01T00:00:00Z,7019,7019,52084.0000000001,38772.0000000003,14727.490000000029,2.098231941872066
SBGR,2022-03-01T00:00:00Z,7638,7638,57489.40000000045,41162.200000000375,17652.829999999954,2.3111848651479385
SBGR,2022-04-01T00:00:00Z,7212,7212,54022.900000000045,40387.80000000017,14997.85999999998,2.0795701608430366
SBGR,2022-05-01T00:00:00Z,7663,7663,54445.20000000009,40127.50000000012,15615.290000000014,2.037751533342035
SBGR,2022-06-01T00:00:00Z,7528,7528,56688.800000000214,41560.20000000031,16336.180000000011,2.170055791710947
SBGR,2022-07-01T00:00:00Z,4,4,36.099999999999994,22.799999999999997,14.89,3.7225
SBKP,2019-01-01T00:00:00Z,4716,4716,28366.00000000006,18150.4000000002,11574.729999999998,2.4543532654792193
SBKP,2019-02-01T00:00:00Z,4408,4408,26907.899999999994,17205.40000000014,11089.029999999972,2.5156601633393767
SBKP,2019-03-01T00:00:00Z,4605,4605,28908.299999999974,18519.300000000345,11735.560000000023,2.5484386536373558
SBKP,2019-04-01T00:00:00Z,4576,4576,28015.199999999983,18286.900000000158,11093.53,2.4242854020979023
SBKP,2019-05-01T00:00:00Z,4680,4680,29377.600000000002,18656.500000000193,11907.860000000019,2.5444145299145338
SBKP,2019-06-01T00:00:00Z,4511,4511,28596.600000000017,17752.700000000168,11993.689999999999,2.658765240523165
SBKP,2019-07-01T00:00:00Z,2486,2486,16635.9,9956.699999999943,7346.010000000007,2.9549517296862455
SBKP,2019-08-01T00:00:00Z,4768,4768,30026.300000000007,19670.500000000346,11966.94999999998,2.5098468959731504
SBKP,2019-09-01T00:00:00Z,4532,4532,28513.400000000027,18815.600000000373,11180.279999999997,2.466963812886142
SBKP,2019-10-01T00:00:00Z,4673,4673,27941.299999999985,19457.30000000024,10265.580000000013,2.196785790712607
SBKP,2019-11-01T00:00:00Z,4314,4314,26020.10000000004,17794.700000000226,9790.72000000001,2.2695224849327795
SBKP,2019-12-01T00:00:00Z,4221,4221,25418.50000000006,17217.30000000022,9522.299999999997,2.25593461265103
SBKP,2020-01-01T00:00:00Z,4158,4158,25794.400000000027,16604.70000000021,10399.629999999996,2.501113516113515
SBKP,2020-02-01T00:00:00Z,3818,3818,23920.500000000033,15340.600000000106,9502.449999999977,2.488855421686741
SBKP,2020-03-01T00:00:00Z,2817,2817,18586.299999999985,12059.600000000006,7058.4100000000035,2.5056478523251697
SBKP,2020-04-01T00:00:00Z,1303,1303,8286.800000000007,5784.299999999991,2623.1499999999987,2.013161933998464
SBKP,2020-05-01T00:00:00Z,815,815,4400.600000000001,3087.7999999999965,1437.4099999999992,1.7636932515337413
SBKP,2020-06-01T00:00:00Z,595,595,3014.2999999999993,2281.2999999999975,908.5599999999997,1.526991596638655
SBKP,2020-07-01T00:00:00Z,778,778,3502.200000000001,3031.499999999998,829.2499999999995,1.0658740359897165
SBKP,2020-08-01T00:00:00Z,948,948,5588.5999999999985,3972.199999999994,1789.1199999999985,1.8872573839662432
SBKP,2020-09-01T00:00:00Z,1995,1995,13046.099999999991,8147.0999999999185,4986.980000000007,2.4997393483709307
SBKP,2020-10-01T00:00:00Z,3289,3289,21605.00000000002,13337.900000000001,8410.79000000001,2.5572484037701457
SBKP,2020-11-01T00:00:00Z,3754,3754,24144.30000000002,15187.800000000097,9129.669999999984,2.431984549813528
SBKP,2020-12-01T00:00:00Z,3972,3972,25092.100000000035,15326.30000000012,10002.919999999995,2.5183585095669674
SBKP,2021-01-01T00:00:00Z,4051,4051,25300.49999999998,15681.100000000099,9847.370000000014,2.430849173043696
