AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
LIRF,2019-07,ARR,14920,147984,100549.901632054,47434.0983679461,3.17922911313312
LIRF,2019-08,ARR,14916,146585,99383.3615660469,47201.6384339531,3.16449707924062
LIRF,2019-09,ARR,13973,135692,91296.1556878134,44395.8443121866,3.17725930810754
LIRF,2019-10,ARR,13126,126076,84237.1233424432,41838.8766575568,3.18748108011251
LIRF,2019-11,ARR,11152,99776,70660.5160466294,29115.4839533706,2.61078586382448
LIRF,2019-12,ARR,11157,105834,73972.8158255089,31861.1841744911,2.85571248314879
LIRF,2020-01,ARR,10542,98383,66464.2262121875,31918.7737878125,3.02777212936943
LIRF,2020-02,ARR,9651,92058,62875.9411923525,29182.0588076475,3.02373420450186
LIRF,2020-03,ARR,4291,39099,26887.3757661913,12211.6242338087,2.84586908268671
LIRF,2020-04,ARR,1172,10473,6803.1416228921,3669.8583771079,3.131278478761
LIRF,2020-05,ARR,1345,10219,7399.69005364764,2819.30994635236,2.0961412240538
LIRF,2020-06,ARR,1757,14264,10166.7397259935,4097.26027400655,2.3319637302257
LIRF,2020-07,ARR,3869,34884,25175.8169799314,9708.1830200686,2.50922280177529
LIRF,2020-08,ARR,5028,46829,32103.463402504,14725.536597496,2.92870656274782
LIRF,2020-09,ARR,4298,38726,26766.7356853715,11959.2643146285,2.78251845384562
LIRF,2020-10,ARR,4082,36388,23635.912647774,12752.087352226,3.12398024307349
LIRF,2020-11,ARR,2617,22855,14663.1112900177,8191.88870998233,3.1302593465733
LIRF,2020-12,ARR,2697,22788,14854.0948471316,7933.90515286842,2.94175200328825
LIRF,2021-01,ARR,2395,19711,13048.2927927373,6662.70720726266,2.78192367735393
LIRF,2021-02,ARR,2090,18006,11596.2631860562,6409.73681394376,3.0668597195903202
LIRF,2021-03,ARR,2451,21116,13615.3429297857,7500.65707021434,3.06024360269863
LIRF,2021-04,ARR,3089,24744,16666.365153505,8077.63484649503,2.61496757736971
LIRF,2021-05,ARR,3277,25769,17079.2331726683,8689.76682733167,2.65174453076951
LIRF,2021-06,ARR,4299,36419,25198.8546114038,11220.1453885962,2.60994310039455
LIRF,2021-07,ARR,6186,56460,40303.3678065291,16156.6321934709,2.61180604485465
LIRF,2021-08,ARR,7257,64960,47389.935075361,17570.064924639,2.42111959826913
LIRF,2021-09,ARR,6442,57660,41517.0406276241,16142.9593723759,2.50589248251721
