ICAO,YEAR,MOF,SRC_PHASE,N,N_VALID,TOT_TXXT,TOT_REF,TOT_ADD,AVG_ADD
EDDM,2020,202006,ARR,2315,2315,13474,11006.2,2467.800000000001,1.0660043196544282
EDDM,2020,202006,DEP,2291,2291,23568,22649.600000000024,918.399999999976,0.40087298123089304
EDDM,2020,202007,ARR,4975,4975,28796,23833.799999999992,4962.200000000008,0.9974271356783936
EDDM,2020,202007,DEP,4963,4963,48638,46386.8,2251.199999999997,0.45359661495063414
EDDM,2020,202008,ARR,6132,6132,32177,27048.2,5128.799999999999,0.8363992172211349
EDDM,2020,202008,DEP,6126,6126,57488,56127.799999999894,1360.2000000001062,0.2220372184133376
EDDM,2020,202009,ARR,6357,6357,33217,27800.40000000002,5416.59999999998,0.852068585810914
EDDM,2020,202009,DEP,6367,6367,59430,57929.79999999993,1500.2000000000698,0.23562117166641583
EDDM,2020,202010,ARR,5669,5669,30051,25601.4,4449.600000000002,0.7849003351561126
EDDM,2020,202010,DEP,5671,5671,52182,50436.19999999994,1745.8000000000611,0.3078469405748653
EDDM,2020,202011,ARR,3248,3248,17139,14123.200000000004,3015.7999999999975,0.928509852216748
EDDM,2020,202011,DEP,3261,3261,32998,29436.599999999984,3561.400000000016,1.092118981907395
EDDM,2020,202012,ARR,2846,2843,16209,12581.799999999996,3627.2000000000025,1.2758353851565256
EDDM,2020,202012,DEP,2844,2844,35378,26523.599999999977,8854.400000000023,3.1133614627285597
EDDM,2021,202101,ARR,2450,2450,15581,11603.199999999992,3977.800000000008,1.623591836734697
EDDM,2021,202101,DEP,2459,2459,38346,22879.39999999997,15466.600000000031,6.289792598617336
EDDM,2021,202102,ARR,1707,1705,9595,7619.7999999999965,1975.2000000000037,1.158475073313785
EDDM,2021,202102,DEP,1700,1700,20778,16709.199999999993,4068.8000000000065,2.393411764705886
EDDM,2021,202103,ARR,2548,2547,14966,12170.200000000004,2795.7999999999975,1.0976835492736543
EDDM,2021,202103,DEP,2550,2550,28272,23270.599999999973,5001.400000000027,1.961333333333344
EDDM,2021,202104,ARR,3273,3273,17742,14354,3388,1.0351359608921478
EDDM,2021,202104,DEP,3266,3266,34503,31118.80000000001,3384.19999999999,1.0361910593998744
EDDM,2021,202105,ARR,4101,4101,22395,17296.6,5098.4000000000015,1.2432089734211171
EDDM,2021,202105,DEP,4103,4102,43769,40442.40000000009,3326.5999999999112,0.8109702584105098
EDDM,2021,202106,ARR,5531,5531,32361,24645.999999999993,7715.000000000007,1.394865304646539
EDDM,2021,202106,DEP,5540,5540,62823,53891.00000000002,8931.999999999978,1.612274368231043
EDDM,2021,202107,ARR,7927,7927,46691,38035.19999999997,8655.800000000032,1.0919389428535426
