FIR,ano,mes,dia,mov
BRASIL,2017,5,24,4575
BRASIL,2017,5,25,4902
BRASIL,2017,5,26,5206
BRASIL,2017,5,27,3802
BRASIL,2017,5,28,3421
BRASIL,2017,5,29,4489
BRASIL,2017,5,30,4336
BRASIL,2017,5,31,4391
BRASIL,2017,6,1,4879
BRASIL,2017,6,2,5320
BRASIL,2017,6,3,4156
BRASIL,2017,6,4,3784
BRASIL,2017,6,5,4498
BRASIL,2017,6,6,4451
BRASIL,2017,6,7,4703
BRASIL,2017,6,8,4924
BRASIL,2017,6,9,5004
BRASIL,2017,6,10,4220
BRASIL,2017,6,11,3828
BRASIL,2017,6,12,4686
BRASIL,2017,6,13,4488
BRASIL,2017,6,14,4952
BRASIL,2017,6,15,4497
BRASIL,2017,6,16,3577
BRASIL,2017,6,17,3407
BRASIL,2017,6,18,4352
BRASIL,2017,6,19,4607
BRASIL,2017,6,20,4624
BRASIL,2017,6,21,4659
BRASIL,2017,6,22,5052
BRASIL,2017,6,23,5459
BRASIL,2017,6,24,4219
BRASIL,2017,6,25,3823
BRASIL,2017,6,26,4800
BRASIL,2017,6,27,4931
BRASIL,2017,6,28,5008
BRASIL,2017,6,29,5178
BRASIL,2017,6,30,5312
BRASIL,2017,7,1,4372
BRASIL,2017,7,2,3922
BRASIL,2017,7,3,4741
BRASIL,2017,7,4,4947
BRASIL,2017,7,5,5040
BRASIL,2017,7,6,5302
BRASIL,2017,7,7,5229
BRASIL,2017,7,8,4285
BRASIL,2017,7,9,3923
BRASIL,2017,7,10,4774
BRASIL,2017,7,11,5000
BRASIL,2017,7,12,5119
BRASIL,2017,7,13,5276
BRASIL,2017,7,14,5401
BRASIL,2017,7,15,4417
BRASIL,2017,7,16,4067
BRASIL,2017,7,17,4622
BRASIL,2017,7,18,4704
BRASIL,2017,7,19,4933
BRASIL,2017,7,20,5099
BRASIL,2017,7,21,5413
BRASIL,2017,7,22,4298
BRASIL,2017,7,23,4062
BRASIL,2017,7,24,4956
BRASIL,2017,7,25,5084
BRASIL,2017,7,26,5108
BRASIL,2017,7,27,5363
BRASIL,2017,7,28,5400
BRASIL,2017,7,29,4316
BRASIL,2017,7,30,4141
BRASIL,2017,7,31,4870
BRASIL,2017,8,1,4953
BRASIL,2017,8,2,4986
BRASIL,2017,8,3,4905
BRASIL,2017,8,4,5144
BRASIL,2017,8,5,3981
BRASIL,2017,8,6,3985
BRASIL,2017,8,7,4854
BRASIL,2017,8,8,4939
BRASIL,2017,8,9,5060
BRASIL,2017,8,10,5182
BRASIL,2017,8,11,5444
BRASIL,2017,8,12,4175
BRASIL,2017,8,13,3659
BRASIL,2017,8,14,4694
BRASIL,2017,8,15,4784
BRASIL,2017,8,16,4702
BRASIL,2017,8,17,4687
BRASIL,2017,8,18,4990
BRASIL,2017,8,19,3938
BRASIL,2017,8,20,3474
BRASIL,2017,8,21,4596
BRASIL,2017,8,22,4754
BRASIL,2017,8,23,5043
BRASIL,2017,8,24,5217
BRASIL,2017,8,25,5613
BRASIL,2017,8,26,4418
BRASIL,2017,8,27,3976
BRASIL,2017,8,28,5130
BRASIL,2017,8,29,5020
BRASIL,2017,8,30,5196
BRASIL,2017,8,31,5081
BRASIL,2017,9,1,5168
BRASIL,2017,9,2,4095
BRASIL,2017,9,3,3925
BRASIL,2017,9,4,5020
BRASIL,2017,9,5,5122
BRASIL,2017,9,6,5832
